starttime	tripduration	group
2015-09-11 07:13:00	672.836	All Riders
2015-09-13 16:50:00	621.826	All Riders
2015-09-13 16:50:00	620.607	All Riders
2015-09-16 09:35:00	1089.965	All Riders
2015-09-18 08:50:00	511.977	All Riders
2015-09-20 11:04:00	936.465	All Riders
2015-09-20 11:04:00	921.504	All Riders
2015-09-21 18:02:00	487.211	All Riders
2015-09-22 10:41:00	611.701	All Riders
2015-09-26 13:38:00	552.836	All Riders
2015-09-30 18:14:00	461.147	All Riders
2015-10-03 19:07:00	627.499	All Riders
2015-10-10 13:26:00	454.973	All Riders
2015-12-01 05:54:00	567	My data
